<h1>WSG Sections and Guidelines and Success criteria</h1>
Title,Link,Impact,Effort,Description,Status,Notes
"2. User-Experience Design",https://w3c.github.io/sustyweb/#x2-user-experience-design
"2.1 Undertake Systemic Impacts Mapping",https://w3c.github.io/sustyweb/#x2-1-undertake-systemic-impacts-mapping,Medium,Medium
"Success Criterion - Privacy Policy",https://w3c.github.io/sustyweb/#success-criterion-privacy-policy,,,"The organization has a public-facing privacy policy in place and supports existing privacy laws such as the General Data Protection Regulation (GDPR), California Consumer Privacy Act (CCPA), and so on. This policy must be both accessible for all visitors, including those with accessibility and reading comprehension needs, and abide by plain English best practices to avoid jargon, technical language, and legalese."
"Success Criterion - Data Ownership",https://w3c.github.io/sustyweb/#success-criterion-data-ownership,,,"The organization can show measurable progress over time on how it respects data privacy and ownership, including a visitor's "right-to-be-forgotten" and provides the ability to export data."
"Success Criterion - Data Protection",https://w3c.github.io/sustyweb/#success-criterion-data-protection,,,"The organization supports new and emerging legislation related to data privacy, data sustainability, and responsible data practices."
"5.21 Implement Appropriate Data Management Procedures",https://w3c.github.io/sustyweb/#x5-21-implement-appropriate-data-management-procedures,Low,High
"Success Criterion - Outdated Content",https://w3c.github.io/sustyweb/#success-criterion-outdated-content,,,"Outdated or otherwise expired product content and data are archived and deleted via automated expiration dates and scheduled product audits. Create an archiving schedule with a lighter version of the old searchable content available."
"Success Criterion - Data Controllers",https://w3c.github.io/sustyweb/#success-criterion-data-controllers,,,"Enable users to control, manage, and delete their data, subscriptions, and accounts."
"5.22 Promote and Implement Responsible Emerging Technology Practices",https://w3c.github.io/sustyweb/#x5-22-promote-and-implement-responsible-emerging-technology-practices,High,Medium
"Success Criterion - Emerging Technologies",https://w3c.github.io/sustyweb/#success-criterion-emerging-technologies,,,"The organization has public-facing policies in place for emerging technologies, and all such technologies are ethically sourced, screened, validated, and implemented in a non-discriminatory, responsible manner."
"Success Criterion - Disruptive Technology",https://w3c.github.io/sustyweb/#success-criterion-disruptive-technology,,,"The organization can show how it up-skills workers as new technologies and practices potentially disrupt its business model."
"Success Criterion - Technology Legislation",https://w3c.github.io/sustyweb/#success-criterion-technology-legislation,,,"The organization supports responsible legislation related to automation and emerging technologies."
"5.23 Include Responsible Financial Policies",https://w3c.github.io/sustyweb/#x5-23-include-responsible-financial-policies,High,High
"Success Criterion - Fuel Divestment",https://w3c.github.io/sustyweb/#success-criterion-fuel-divestment,,,"The organization has divested from fossil fuels and moved its banking, sponsorship, and other affiliations to more responsible partners."
"Success Criterion - Responsible Finance",https://w3c.github.io/sustyweb/#success-criterion-responsible-finance,,,"The organization engages in flexible financing and responsible budgeting for its digital products and services to accommodate long-term care and maintenance."
"5.24 Include Organizational Philanthropy Policies",https://w3c.github.io/sustyweb/#x5-24-include-organizational-philanthropy-policies,High,Medium
"Success Criterion - Philanthropy Policy",https://w3c.github.io/sustyweb/#success-criterion-philanthropy-policy,,,"The organization has a clear corporate giving policy and creates philanthropic partnerships with strategically aligned organizations."
"Success Criterion - Voluntary Work",https://w3c.github.io/sustyweb/#success-criterion-voluntary-work,,,"The organization engages in free or volunteer projects, which help its team learn new tools and tactics, while also helping charities and non-profit organizations build capacity."
"5.25 Plan for a Digital Product or Service's Care and End-of-Life",https://w3c.github.io/sustyweb/#x5-25-plan-for-a-digital-product-or-service-s-care-and-end-of-life,Medium,Medium
"Success Criterion - End-of-life Care",https://w3c.github.io/sustyweb/#success-criterion-end-of-life-care,,,"Establish clear, documented end-of-life guidelines that include data disposal, archiving, file deletion, and so on."
"5.26 Include E-Waste, Right-To-Repair, and Recycling Policies",https://w3c.github.io/sustyweb/#x5-26-include-e-waste-right-to-repair-and-recycling-policies,High,Medium
"Success Criterion - E-Waste Policy",https://w3c.github.io/sustyweb/#success-criterion-e-waste-policy,,,"The organization has specific policies in place to recycle e-waste and repair owned technology products whenever possible."
"Success Criterion - Recycling And Repairing",https://w3c.github.io/sustyweb/#success-criterion-recycling-and-repairing,,,"The organization has formed relationships with local partners for e-waste recycling and repair."
"Success Criterion - Refurbishment Strategy",https://w3c.github.io/sustyweb/#success-criterion-refurbishment-strategy,,,"The organization buys refurbished equipment whenever possible."
"5.27 Define Performance and Environmental Budgets",https://w3c.github.io/sustyweb/#x5-27-define-performance-and-environmental-budgets,Medium,Medium
"Success Criterion - Environmental Budget",https://w3c.github.io/sustyweb/#success-criterion-environmental-budget,,,"The product team has defined, baselined, and documented a clear sustainability and environmental budget criteria that covers the page, user-journey, and digital service levels and metrics (such as a CO2.js score) that are approved by relevant product stakeholders."
"Success Criterion - Performance Budget",https://w3c.github.io/sustyweb/#success-criterion-performance-budget,,,"Use tools such as a performance budget to determine the maximum size (goals) your app or website can weigh to reduce the data transfer and HTTP request impact (using metrics like Google Lighthouse)."
"Success Criterion - Measurable Improvements",https://w3c.github.io/sustyweb/#success-criterion-measurable-improvements,,,"The product team can measurably show how much the budgeting process improved performance and reduced emissions."
"Success Criterion - Capacity And Maintenance",https://w3c.github.io/sustyweb/#success-criterion-capacity-and-maintenance,,,"The product team invests in resources to build capacity and maintain the budgets over time."
"5.28 Use Open Source Tools",https://w3c.github.io/sustyweb/#x5-28-use-open-source-tools,High,High
"Success Criterion - Open Source Policy",https://w3c.github.io/sustyweb/#success-criterion-open-source-policy,,,"The organization has a clear open source policy in place that outlines how it uses open source tools and the practices it supports surrounding open source development."
"Success Criterion - Collaboration",https://w3c.github.io/sustyweb/#success-criterion-collaboration,,,"The organization has a track record of collaboration and community-building around open source principles."
"Success Criterion - Contribution",https://w3c.github.io/sustyweb/#success-criterion-contribution,,,"The organization regularly contributes to open source community-based projects."
